HCPC,SEQNUM,RECID,LONG_DESCRIPTION,SHORT_DESCRIPTION,,,,,
   CC,10,7,Procedure code change (use 'cc' when the procedure code submitted was changed either for administrative reasons or because an incorrect code was filed),Procedure code change,,,,,
   CD,10,7,Amcc test has been ordered by an esrd facility or mcp physician that is part of the composite rate and is not separately billable,Amcc test for esrd or mcp md,,,,,
   CE,10,7,Amcc test has been ordered by an esrd facility or mcp physician that is a composite rate test but is beyond the normal frequency covered under the rate and is separately reimbursable based on medical necessity,Med neces amcc tst sep reimb,,,,,
   CF,10,7,Amcc test has been ordered by an esrd facility or mcp physician that is not part of the composite rate and is separately billable,Amcc tst not composite rate,,,,,
   CG,10,7,Policy criteria applied,Policy criteria applied,,,,,
   CH,10,7,"0 percent impaired, limited or restricted","0 percent impaired, ltd, res",,,,,
   CI,10,7,"At least 1 percent but less than 20 percent impaired, limited or restricted",1 to <20 percent impaired,,,,,
   CJ,10,7,"At least 20 percent but less than 40 percent impaired, limited or restricted",20 to <40 percent impaired,,,,,
   CK,10,7,"At least 40 percent but less than 60 percent impaired, limited or restricted",40 to <60 percent impaired,,,,,
   CL,10,7,"At least 60 percent but less than 80 percent impaired, limited or restricted",60 to <80 percent impaired,,,,,
   CM,10,7,"At least 80 percent but less than 100 percent impaired, limited or restricted",80 to <100 percent impaired,,,,,
   CN,10,7,"100 percent impaired, limited or restricted","100 percent impaired, ltd",,,,,
   CP,10,7,"Adjunctive service related to a procedure assigned to a comprehensive ambulatory payment classification (c-apc) procedure, but reported on a different claim",C-apc adjunctive service,,,,,
   CR,10,7,Catastrophe/disaster related,Catastrophe/disaster related,,,,,
   CS,10,7,"Item or service related, in whole or in part, to an illness, injury, or condition that was caused by or exacerbated by the effects, direct or indirect, of the 2010 oil spill in the gulf of mexico, including but not limited to subsequent clean-up activities",Gulf oil 2010 spill related,,,,,
   CT,10,7,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (nema) xr-29-2013 standard,Ct does not meet nema standa,,,,,
   DA,10,7,Oral health assessment by a licensed health professional other than a dentist,"Oral health assess, not dent",,,,,
   E1,10,7,"Upper left, eyelid",Upper left eyelid,,,,,
   E2,10,7,"Lower left, eyelid",Lower left eyelid,,,,,
   E3,10,7,"Upper right, eyelid",Upper right eyelid,,,,,
   E4,10,7,"Lower right, eyelid",Lower right eyelid,,,,,
   EA,10,7,Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer chemotherapy,"Esa, anemia, chemo-induced",,,,,
   EB,10,7,Erythropoetic stimulating agent (esa) administered to treat anemia due to anti-cancer radiotherapy,"Esa, anemia, radio-induced",,,,,
   EC,10,7,Erythropoetic stimulating agent (esa) administered to treat anemia not due to anti-cancer radiotherapy or anti-cancer chemotherapy,"Esa, anemia, non-chemo/radio",,,,,
   ED,10,7,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,Hct>39% or hgb>13g>=3 cycle,,,,,
   EE,10,7,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,Hct>39% or hgb>13g<3 cycle,,,,,
   EJ,10,7,"Subsequent claims for a defined course of therapy, e.g., epo, sodium hyaluronate, infliximab",Subsequent claim,,,,,
   EM,10,7,Emergency reserve supply (for esrd benefit only),Emer reserve supply (esrd),,,,,
   EP,10,7,Service provided as part of medicaid early periodic screening diagnosis and treatment (epsdt) program,Medicaid epsdt program svc,,,,,
   ET,10,7,Emergency services,Emergency services,,,,,
   EX,10,7,Expatriate beneficiary,Expatriate beneficiary,,,,,
   EY,10,7,No physician or other licensed health care provider order for this item or service,No md order for item/service,,,,,
   F1,10,7,"Left hand, second digit","Left hand, second digit",,,,,
   F2,10,7,"Left hand, third digit","Left hand, third digit",,,,,
   F3,10,7,"Left hand, fourth digit","Left hand, fourth digit",,,,,
   F4,10,7,"Left hand, fifth digit","Left hand, fifth digit",,,,,
   F5,10,7,"Right hand, thumb","Right hand, thumb",,,,,
   F6,10,7,"Right hand, second digit","Right hand, second digit",,,,,
   F7,10,7,"Right hand, third digit","Right hand, third digit",,,,,
   F8,10,7,"Right hand, fourth digit","Right hand, fourth digit",,,,,
   F9,10,7,"Right hand, fifth digit","Right hand, fifth digit",,,,,
   FA,10,7,"Left hand, thumb","Left hand, thumb",,,,,
   FB,10,7,"Item provided without cost to provider, supplier or practitioner, or full credit received for replaced device (examples, but not limited to, covered under warranty, replaced due to defect, free samples)",Item provided without cost,,,,,
   FC,10,7,Partial credit received for replaced device,"Part credit, replaced device",,,,,
   FP,10,7,Service provided as part of family planning program,Svc part of family plan pgm,,,,,
   G1,10,7,Most recent urr reading of less than 60,Urr reading of less than 60,,,,,
   G2,10,7,Most recent urr reading of 60 to 64.9,Urr reading of 60 to 64.9,,,,,
   G3,10,7,Most recent urr reading of 65 to 69.9,Urr  reading of 65 to 69.9,,,,,
   G4,10,7,Most recent urr reading of 70 to 74.9,Urr reading of 70 to 74.9,,,,,
   G5,10,7,Most recent urr reading of 75 or greater,Urr reading of 75 or greater,,,,,
   G6,10,7,Esrd patient for whom less than six dialysis sessions have been provided in a month,Esrd patient <6 dialysis/mth,,,,,
   G7,10,7,Pregnancy resulted from rape or incest or pregnancy certified by physician as life threatening,Payment limits do not apply,,,,,
   G8,10,7,"Monitored anesthesia care (mac) for deep complex, complicated, or markedly invasive surgical procedure",Monitored anesthesia care,,,,,
   G9,10,7,Monitored anesthesia care for patient who has history of severe cardio-pulmonary condition,Mac for at risk patient,,,,,
   GA,10,7,"Waiver of liability statement issued as required by payer policy, individual case",Liability waiver ind case,,,,,
   GB,10,7,Claim being re-submitted for payment because it is no longer covered under a global payment demonstration,Claim resubmitted,,,,,
   GC,10,7,This service has been performed in part by a resident under the direction of a teaching physician,Resident/teaching phys serv,,,,,
   GD,10,7,Units of service exceeds medically unlikely edit value and represents reasonable and necessary services,Unit of service > mue value,,,,,
   GE,10,7,This service has been performed by a resident without the presence of a teaching physician under the primary care exception,Resident prim care exception,,,,,
   GF,10,7,"Non-physician (e.g. nurse practitioner (np), certified registered nurse anesthetist (crna), certified registered nurse (crn), clinical nurse specialist (cns), physician assistant (pa)) services in a critical access hospital",Nonphysician serv c a hosp,,,,,
   GG,10,7,"Performance and payment of a screening mammogram and diagnostic mammogram on the same patient, same day",Payment screen mam + diagmam,,,,,
   GH,10,7,Diagnostic mammogram converted from screening mammogram on same day,Diag mammo to screening mamo,,,,,
   GJ,10,7,"""opt out"" physician or practitioner emergency or urgent service",Opt out provider of er srvc,,,,,
   GK,10,7,Reasonable and necessary item/service associated with a ga or gz modifier,Actual item/service ordered,,,,,
   GL,10,7,"Medically unnecessary upgrade provided instead of non-upgraded item, no charge, no advance beneficiary notice (abn)","Upgraded item, no charge",,,,,
   GM,10,7,Multiple patients on one ambulance trip,Multiple transports,,,,,
   GN,10,7,Services delivered under an outpatient speech language pathology plan of care,Op speech language service,,,,,
   GO,10,7,Services delivered under an outpatient occupational therapy plan of care,Op occupational therapy serv,,,,,
   GP,10,7,Services delivered under an outpatient physical therapy plan of care,Op pt services,,,,,
   GQ,10,7,Via asynchronous telecommunications system,Telehealth store and forward,,,,,
   GR,10,7,"This service was performed in whole or in part by a resident in a department of veterans affairs medical center or clinic, supervised in accordance with va policy",Service by va resident,,,,,
   GS,10,7,Dosage of erythropoietin stimulating agent has been reduced and maintained in response to hematocrit or hemoglobin level,Epo/darbepoietin reduced 25%,,,,,
   GT,10,7,Via interactive audio and video telecommunication systems,Interactivetelecommunication,,,,,
   GU,10,7,"Waiver of liability statement issued as required by payer policy, routine notice",Liability waiver rout notice,,,,,
   GV,10,7,Attending physician not employed or paid under arrangement by the patient's hospice provider,Attending phys not hospice,,,,,
   GW,10,7,Service not related to the hospice patient's terminal condition,Service unrelated to term co,,,,,
   GX,10,7,"Notice of liability issued, voluntary under payer policy",Voluntary liability notice,,,,,
   GY,10,7,"Item or service statutorily excluded, does not meet the definition of any medicare benefit or, for non-medicare insurers, is not a contract benefit",Statutorily excluded,,,,,
   GZ,10,7,Item or service expected to be denied as not reasonable and necessary,Not reasonable and necessary,,,,,
   H9,10,7,Court-ordered,Court-ordered,,,,,
   HA,10,7,Child/adolescent program,Child/adolescent program,,,,,
   HB,10,7,"Adult program, non geriatric",Adult program non-geriatric,,,,,
   HC,10,7,"Adult program, geriatric",Adult program geriatric,,,,,
   HD,10,7,Pregnant/parenting women's program,Pregnant/parenting program,,,,,
   HE,10,7,Mental health program,Mental health program,,,,,
   HF,10,7,Substance abuse program,Substance abuse program,,,,,
   HG,10,7,Opioid addiction treatment program,Opioid addiction tx program,,,,,
   HH,10,7,Integrated mental health/substance abuse program,Mental hlth/substance abs pr,,,,,
   HI,10,7,Integrated mental health and intellectual disability/developmental disabilities program,Men hlth intel/dev disab pgm,,,,,
   HJ,10,7,Employee assistance program,Employee assistance program,,,,,
   HK,10,7,Specialized mental health programs for high-risk populations,Spec hgh rsk mntl hlth pop p,,,,,
   HL,10,7,Intern,Intern,,,,,
   HM,10,7,Less than bachelor degree level,Less than bachelor degree lv,,,,,
   HN,10,7,Bachelors degree level,Bachelors degree level,,,,,
   HO,10,7,Masters degree level,Masters degree level,,,,,
   HP,10,7,Doctoral level,Doctoral level,,,,,
   HQ,10,7,Group setting,Group setting,,,,,
   HR,10,7,Family/couple with client present,Family/couple w client prsnt,,,,,
   HS,10,7,Family/couple without client present,Family/couple w/o client prs,,,,,
   HT,10,7,Multi-disciplinary team,Multi-disciplinary team,,,,,
   HU,10,7,Funded by child welfare agency,Child welfare agency funded,,,,,
   HV,10,7,Funded state addictions agency,Funded state addiction agncy,,,,,
   HW,10,7,Funded by state mental health agency,State mntl hlth agncy funded,,,,,
   HX,10,7,Funded by county/local agency,County/local agency funded,,,,,
   HY,10,7,Funded by juvenile justice agency,Funded by juvenile justice,,,,,
   HZ,10,7,Funded by criminal justice agency,Criminal justice agncy fund,,,,,
   J1,10,7,Competitive acquisition program no-pay submission for a prescription number,Cap no-pay for prescript num,,,,,
   J2,10,7,"Competitive acquisition program, restocking of emergency drugs after emergency administration",Cap restock of emerg drugs,,,,,
   J3,10,7,"Competitive acquisition program (cap), drug not available through cap as written, reimbursed under average sales price methodology",Cap drug unavail thru cap,,,,,
   J4,10,7,Dmepos item subject to dmepos competitive bidding program that is furnished by a hospital upon discharge,Dmepos comp bid furn by hosp,,,,,
   JA,10,7,Administered intravenously,Administered intravenously,,,,,
   JB,10,7,Administered subcutaneously,Administered subcutaneously,,,,,
   JC,10,7,Skin substitute used as a graft,Skin substitute graft,,,,,
   JD,10,7,Skin substitute not used as a graft,Skin sub not used as a graft,,,,,
   JE,10,7,Administered via dialysate,Administered via dialysate,,,,,
   JF,10,7,Compounded drug,Compounded drug,,,,,
   JW,10,7,Drug amount discarded/not administered to any patient,Discarded drug not administe,,,,,
   K0,10,7,Lower extremity prosthesis functional level 0 - does not have the ability or potential to ambulate or transfer safely with or without assistance and a prosthesis does not enhance their quality of life or mobility.,Lwr ext prost functnl lvl 0,,,,,
   K1,10,7,Lower extremity prosthesis functional level 1 - has the ability or potential to use a prosthesis for transfers or ambulation on level surfaces at fixed cadence. typical of the limited and unlimited household ambulator.,Lwr ext prost functnl lvl 1,,,,,
   K2,10,7,"Lower extremity prosthesis functional level 2 - has the ability or potential for ambulation with the ability to traverse low level environmental barriers such as curbs, stairs or uneven surfaces.  typical of the limited community ambulator.",Lwr ext prost functnl lvl 2,,,,,
   K3,10,7,"Lower extremity prosthesis functional level 3 - has the ability or potential for ambulation with variable cadence.  typical of the community ambulator who has the ability to transverse most environmental barriers and may have vocational, therapeutic, or exercise activity that demands prosthetic utilization beyond simple locomotion.",Lwr ext prost functnl lvl 3,,,,,
   K4,10,7,"Lower extremity prosthesis functional level 4 - has the ability or potential for prosthetic ambulation that exceeds the basic ambulation skills, exhibiting high impact, stress, or energy levels, typical of the prosthetic demands of the child, active adult, or athlete.",Lwr ext prost functnl lvl 4,,,,,
   KA,10,7,Add on option/accessory for wheelchair,Wheelchair add-on option/acc,,,,,
   KB,10,7,"Beneficiary requested upgrade for abn, more than 4 modifiers identified on claim",>4 modifiers on claim,,,,,
   KC,10,7,Replacement of special power wheelchair interface,Repl special pwr wc intrface,,,,,
   KD,10,7,Drug or biological infused through dme,Drug/biological dme infused,,,,,
   KE,10,7,Bid under round one of the dmepos competitive bidding program for use with non-competitive bid base equipment,Bid under round 1 dmepos cb,,,,,
   KF,10,7,Item designated by fda as class iii device,Fda class iii device,,,,,
   KG,10,7,Dmepos item subject to dmepos competitive bidding program number 1,Dmepos comp bid prgm no 1,,,,,
   KH,10,7,"Dmepos item, initial claim, purchase or first month rental","Dmepos ini clm, pur/1 mo rnt",,,,,
   KI,10,7,"Dmepos item, second or third month rental",Dmepos 2nd or 3rd mo rental,,,,,
   KJ,10,7,"Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months four to fifteen",Dmepos pen pmp or 4-15mo rnt,,,,,
   KK,10,7,Dmepos item subject to dmepos competitive bidding program number 2,Dmepos comp bid prgm no 2,,,,,
   KL,10,7,Dmepos item delivered via mail,Dmepos mailorder comp bid,,,,,
   KM,10,7,Replacement of facial prosthesis including new impression/moulage,Rplc facial prosth new imp,,,,,
   KN,10,7,Replacement of facial prosthesis using previous master model,Rplc facial prosth old mod,,,,,
   KO,10,7,Single drug unit dose formulation,Single drug unit dose form,,,,,
   KP,10,7,First drug of a multiple drug unit dose formulation,First drug of multi drug u d,,,,,
   KQ,10,7,Second or subsequent drug of a multiple drug unit dose formulation,2nd/subsqnt drg multi drg ud,,,,,
   KR,10,7,"Rental item, billing for partial month",Rental item partial month,,,,,
   KS,10,7,Glucose monitor supply for diabetic beneficiary not treated with insulin,Glucose monitor supply,,,,,
   KT,10,7,Beneficiary resides in a competitive bidding area and travels outside that competitive bidding area and receives a competitive bid item,Item from noncontract supply,,,,,
   KU,10,7,Dmepos item subject to dmepos competitive bidding program number 3,Dmepos comp bid prgm no 3,,,,,
   KV,10,7,Dmepos item subject to dmepos competitive bidding program that is furnished as part of a professional service,"Dmepos item, profession serv",,,,,
   KW,10,7,Dmepos item subject to dmepos competitive bidding program number 4,Dmepos comp bid prgm no 4,,,,,
   KX,10,7,Requirements specified in the medical policy have been met,Documentation on file,,,,,
   KY,10,7,Dmepos item subject to dmepos competitive bidding program number 5,Dmepos comp bid prgm no 5,,,,,
   KZ,10,7,New coverage not implemented by managed care,New cov not implement by m+c,,,,,
   L1,10,7,Provider attestation that the hospital laboratory test(s) is not packaged under the hospital opps,Separately payable lab test,,,,,
   LC,10,7,Left circumflex coronary artery,Lft circum coronary artery,,,,,
   LD,10,7,Left anterior descending coronary artery,Left ant des coronary artery,,,,,
   LL,10,7,Lease/rental (use the 'll' modifier when dme equipment rental is to be applied against the purchase price),Lease/rental (appld to pur),,,,,
   LM,10,7,Left main coronary artery,Left main coronary artery,,,,,
   LR,10,7,Laboratory round trip,Laboratory round trip,,,,,
   LS,10,7,Fda-monitored intraocular lens implant,Fda-monitored iol implant,,,,,
   LT,10,7,Left side (used to identify procedures performed on the left side of the body),Left side,,,,,
   M2,10,7,Medicare secondary payer (msp),Medicare secondary payer,,,,,
   MS,10,7,Six month maintenance and servicing fee for reasonable and necessary parts and labor which are not covered under any manufacturer or supplier warranty,6-mo maint/svc fee parts/lbr,,,,,
   NB,10,7,"Nebulizer system, any type, fda-cleared for use with specific drug",Drug specific nebulizer,,,,,
   NR,10,7,New when rented (use the 'nr' modifier when dme which was new at the time of rental is subsequently purchased),New when rented,,,,,
   NU,10,7,New equipment,New equipment,,,,,
   P1,10,7,A normal healthy patient,Normal healthy patient,,,,,
   P2,10,7,A patient with mild systemic disease,Patient w/mild syst disease,,,,,
   P3,10,7,A patient with severe systemic disease,Patient w/severe sys disease,,,,,
   P4,10,7,A patient with severe systemic disease that is a constant threat to life,Pt w/sev sys dis threat life,,,,,
   P5,10,7,A moribund patient who is not expected to survive without the operation,Pt not expect surv w/o oper,,,,,
   P6,10,7,A declared brain-dead patient whose organs are being removed for donor purposes,Brain-dead pt organs removed,,,,,
   PA,10,7,Surgical or other invasive procedure on wrong body part,"Surgery, wrong body part",,,,,
   PB,10,7,Surgical or other invasive procedure on wrong patient,"Surgery, wrong patient",,,,,
   PC,10,7,Wrong surgery or other invasive procedure on patient,Wrong surgery on patient,,,,,
   PD,10,7,Diagnostic or related non diagnostic item or service provided in a wholly owned or operated entity to a patient who is admitted as an inpatient within 3 days,Inp admit w/in 3 days,,,,,
   PI,10,7,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the initial treatment strategy of tumors that are biopsy proven or strongly suspected of being cancerous based on other diagnostic testing,Pet tumor init tx strat,,,,,
   PL,10,7,Progressive addition lenses,Progressive addition lenses,,,,,
   PM,10,7,Post mortem,Post mortem,,,,,
   PO,10,7,"Services, procedures and/or surgeries provided at off-campus provider-based outpatient departments",Serv/proc off-campus pbd,,,,,
   PS,10,7,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the subsequent treatment strategy of cancerous tumors when the beneficiary's treating physician determines that the pet study is needed to inform subsequent anti-tumor strategy,Pet tumor subsq tx strategy,,,,,
   PT,10,7,Colorectal cancer screening test, converted to diagnostic test or other procedure,Clrctal screen to diagn,,,,
   Q0,10,7,Investigational clinical service provided in a clinical research study that is in an approved clinical research study,Invest clinical research,,,,,
   Q1,10,7,Routine clinical service provided in a clinical research study that is in an approved clinical research study,Routine clinical research,,,,,
   Q2,10,7,Hcfa/ord demonstration project procedure/service,Hcfa/ord demo procedure/svc,,,,,
   Q3,10,7,Live kidney donor surgery and related services,Live donor surgery/services,,,,,
   Q4,10,7,Service for ordering/referring physician qualifies as a service exemption,Svc exempt - ordrg/rfrng md,,,,,
   Q5,10,7,Service furnished by a substitute physician under a reciprocal billing arrangement,"Subst md svc, recip bill arr",,,,,
   Q6,10,7,Service furnished by a locum tenens physician,Locum tenens md service,,,,,
   Q7,10,7,One class a finding,One class a finding,,,,,
   Q8,10,7,Two class b findings,Two class b findings,,,,,
   Q9,10,7,One class b and two class c findings,1 class b & 2 class c fndngs,,,,,
   QC,10,7,Single channel monitoring,Single channel monitoring,,,,,
   QD,10,7,Recording and storage in solid state memory by a digital recorder,Rcrdg/strg in sld st memory,,,,,
   QE,10,7,Prescribed amount of oxygen is less than 1 liter per minute (lpm),Prescribed oxygen < 1 lpm,,,,,
   QF,10,7,Prescribed amount of oxygen exceeds 4 liters per minute (lpm) and portable oxygen is prescribed,Prscrbd oxygen >4 lpm & port,,,,,
   QG,10,7,Prescribed amount of oxygen is greater than 4 liters per minute(lpm),Prescribed oxygen > 4 lpm,,,,,
   QH,10,7,Oxygen conserving device is being used with an oxygen delivery system,Oxygen cnsrvg dvc w del sys,,,,,
   QJ,10,7,"Services/items provided to a prisoner or patient in state or local custody, however the state or local government, as applicable, meets the requirements in 42 cfr 411.4 (b)",Patient in state/locl custod,,,,,
   QK,10,7,"Medical direction of two, three, or four concurrent anesthesia procedures involving qualified individuals",Med dir 2-4 cncrnt anes proc,,,,,
   QL,10,7,Patient pronounced dead after ambulance called,Patient died after amb call,,,,,
   QM,10,7,Ambulance service provided under arrangement by a provider of services,Ambulance arr by provider,,,,,
   QN,10,7,Ambulance service furnished directly by a provider of services,Ambulance furn by provider,,,,,
   QP,10,7,"Documentation is on file showing that the laboratory test(s) was ordered individually or ordered as a cpt-recognized panel other than automated profile codes 80002-80019, g0058, g0059, and g0060.",Individually ordered lab tst,,,,,
   QS,10,7,Monitored anesthesia care service,Monitored anesthesia care,,,,,
   QT,10,7,Recording and storage on tape by an analog tape recorder,Rcrdg/strg tape analog recdr,,,,,
   QW,10,7,Clia waived test,Clia waived test,,,,,
   QX,10,7,Crna service: with medical direction by a physician,Crna svc w/ md med direction,,,,,
   QY,10,7,Medical direction of one certified registered nurse anesthetist (crna) by an anesthesiologist,Medically directed crna,,,,,
   QZ,10,7,Crna service: without medical direction by a physician,Crna svc w/o med dir by md,,,,,
   RA,10,7,"Replacement of a dme, orthotic or prosthetic item",Replacement of dme item,,,,,
   RB,10,7,"Replacement of a part of a dme, orthotic or prosthetic item furnished as part of a repair","Replacement part, dme item",,,,,
   RC,10,7,Right coronary artery,Right coronary artery,,,,,
   RD,10,7,"Drug provided to beneficiary, but not administered ""incident-to""",Drug admin not incident-to,,,,,
   RE,10,7,Furnished in full compliance with fda-mandated risk evaluation and mitigation strategy (rems),Furnish full compliance rems,,,,,
   RI,10,7,Ramus intermedius coronary artery,Ramus intermedius cor artery,,,,,
   RR,10,7,Rental (use the 'rr' modifier when dme is to be rented),Rental (dme),,,,,
   RT,10,7,Right side (used to identify procedures performed on the right side of the body),Right side,,,,,
   SA,10,7,Nurse practitioner rendering service in collaboration with a physician,Nurse practitioner w physici,,,,,
   SB,10,7,Nurse midwife,Nurse midwife,,,,,
   SC,10,7,Medically necessary service or supply,Medically necessary serv/sup,,,,,
   SD,10,7,"Services provided by registered nurse with specialized, highly technical home infusion training",Serv by home infusion rn,,,,,
   SE,10,7,State and/or federally-funded programs/services,State/fed funded program/ser,,,,,
   SF,10,7,"Second opinion ordered by a professional review organization (pro) per section 9401, p.l. 99-272 (100% reimbursement - no medicare deductible or coinsurance)",2nd opinion ordered by pro,,,,,
   SG,10,7,Ambulatory surgical center (asc) facility service,Asc facility service,,,,,
   SH,10,7,Second concurrently administered infusion therapy,2nd concurrent infusion ther,,,,,
   SJ,10,7,Third or more concurrently administered infusion therapy,3rd concurrent infusion ther,,,,,
   SK,10,7,Member of high risk population (use only with codes for immunization),High risk population,,,,,
   SL,10,7,State supplied vaccine,State supplied vaccine,,,,,
   SM,10,7,Second surgical opinion,Second opinion,,,,,
   SN,10,7,Third surgical opinion,Third opinion,,,,,
   SQ,10,7,Item ordered by home health,Item ordered by home health,,,,,
   SS,10,7,Home infusion services provided in the infusion suite of the iv therapy provider,Hit in infusion suite,,,,,
   ST,10,7,Related to trauma or injury,Related to trauma or injury,,,,,
   SU,10,7,Procedure performed in physician's office (to denote use of facility and equipment),Performed in phys office,,,,,
   SV,10,7,Pharmaceuticals delivered to patient's home but not utilized,Drugs delivered not used,,,,,
   SW,10,7,Services provided by a certified diabetic educator,Serv by cert diab educator,,,,,
   SY,10,7,Persons who are in close contact with member of high-risk population (use only with codes for immunization),Contact w/high-risk pop,,,,,
   SZ,10,7,Habilitative services,Habilitative services,,,,,
   T1,10,7,"Left foot, second digit","Left foot, second digit",,,,,
   T2,10,7,"Left foot, third digit","Left foot, third digit",,,,,
   T3,10,7,"Left foot, fourth digit","Left foot, fourth digit",,,,,
   T4,10,7,"Left foot, fifth digit","Left foot, fifth digit",,,,,
   T5,10,7,"Right foot, great toe","Right foot, great toe",,,,,
   T6,10,7,"Right foot, second digit","Right foot, second digit",,,,,
   T7,10,7,"Right foot, third digit","Right foot, third digit",,,,,
   T8,10,7,"Right foot, fourth digit","Right foot, fourth digit",,,,,
   T9,10,7,"Right foot, fifth digit","Right foot, fifth digit",,,,,
   TA,10,7,"Left foot, great toe","Left foot, great toe",,,,,
   TC,10,7,"Technical component; under certain circumstances, a charge may be made for the technical component alone;  under those circumstances the technical component charge is identified by adding modifier 'tc' to the usual procedure number; technical component charges are institutional charges and not billed separately by physicians; however, portable x-ray suppliers only bill for technical component and should utilize modifier tc; the charge data from portable x-ray suppliers will then be used to build customary and prevailing profiles",Technical component,,,,,
   TD,10,7,Rn,Rn,,,,,
   TE,10,7,Lpn/lvn,Lpn/lvn,,,,,
   TF,10,7,Intermediate level of care,Intermediate level of care,,,,,
   TG,10,7,Complex/high tech level of care,Complex/high tech level care,,,,,
   TH,10,7,"Obstetrical treatment/services, prenatal or postpartum",Ob tx/srvcs prenatl/postpart,,,,,
   TJ,10,7,"Program group, child and/or adolescent",Child/adolescent program gp,,,,,
   TK,10,7,"Extra patient or passenger, non-ambulance",Extra patient or passenger,,,,,
   TL,10,7,Early intervention/individualized family service plan (ifsp),Early intervention ifsp,,,,,
   TM,10,7,Individualized education program (iep),Individualized ed prgrm(iep),,,,,
   TN,10,7,Rural/outside providers' customary service area,Rural/out of service area,,,,,
   TP,10,7,"Medical transport, unloaded vehicle",Med transprt unloaded vehicl,,,,,
